,sarcasm,sentiment,dialect,cleaned_tweet
78,False,NEU,msa,خريط احياء شرق حلب سيطر الجيشالسوري حلفائ سكن شباب شرق مدين
79,False,NEU,msa,نادى اسير جن دع لى مساند اسرى إداري مضرب طعام رفض سياس اعتقال ادارى غير مبن
80,True,NEG,gulf,شرك اتصال مدر وش بو اعلان اتك طاطا ختار وع خدم حاول ربط اثن عجز اتصال اعلانذك
81,True,NEG,msa,سام حن عرص بير له رحم وسف هب
82,False,NEU,msa,سوري طريق شرع حق نتخاب رئيس أسد الانتخاباتالسورية
83,False,NEG,msa,أسوان دم علق شتر انتخاب باطل قاطع انتخاب نضم لى
84,True,POS,egypt,تابع سعاد عجاب مئ مغرد شجع سلوب شيق خف دم رؤ ناضج استنتاج مذهل مواهب مصر ثير دف فساد واسط لصوص
85,True,NEG,egypt,جمل وصيف فوز ترامب سمع ناخب قرف طبق حاكم اشنطن قي مرشح قال نا قرف مثل نتخب خلاص
86,False,NEU,msa,استمتاع هذه أجواء ساحر تطلب رمس قهو رافق طريق ترامسفالك أفضل حفظ حرار ساع حفظ برود ساع
87,False,NEG,msa,سلم بن عبد عزيز بن زيد ال سعود يام لا عدد جمع دد وم نادى مناد عن له ظالم ضح
88,False,NEG,msa,قل خير او ليصمتالمصالحةالخليجية
89,False,NEG,gulf,نا شف مسو مو ميس نا خايف
90,False,NEU,msa,إصاب جندي روسي حادث طائر املعباس
91,True,NEG,gulf,هنود وليوود كبر نتاج افلام عالم عرب عمال خايسه يستهزئ في لفي
92,False,NEG,msa,حن قلب عرف أيام ظالم
93,False,NEU,msa,جمهور رميني سوفييت اشتراك أذربيج اشتراك جورجي سوفييت اشتراك قيرغيزس صبح جزء اتحاد سوفيت
94,False,POS,msa,رجل قتل ابن سج رفاق درب بتسم وم قبض نه حق صحاب دائمأ مطمئن
95,False,NEU,msa,ميريام رس نشر ديو اب جايد
96,False,NEU,msa,زير دفاع حلف ناتو يطالي هولند دنمارك مبركل رئيس زراء ريطانيا نقد معصوم مبارك اهند
97,True,NEG,msa,مرس موحد فتن
98,False,POS,egypt,وبر ضع عي على حمد شيخ كو دور مهم طول امم افريق بالجابونتستاهل شيخ
99,False,NEU,msa,تحرير اشنطن دأ مراجع رامج مساعد سعود
100,True,NEG,egypt,سيس جاب كريمهالحفناوي خريات تصور معا انتخبواابنالصهيونية
101,False,NEG,msa,اي مبرر جواب وستبقىحلب
102,False,POS,msa,على سبيل آآدمان قاتل ميرندآتفآح شيكولآآته شيبس تحب حآآجة في آآيك
103,False,NEU,msa,فتاهتضربمتحرش موقع مازو وفر رش فلفل حما تحرش في غرض
104,False,POS,msa,حب تومور
105,False,NEG,msa,اخ ندر لا رى ان شعوب غربيه اتجه لى حزب يم متطرف مالسبب
106,False,NEG,egypt,مذيع استقبل سفير إسرائيل إمبارح ليهاردوغان عض حلف ناتو مصاحب صهاين زم عاوزا طلع
107,False,NEU,msa,شن قاد انقلاب حمل مستمر صحاب رأ آخر ختلف مع حلفائ بقى رأ آخر
108,False,NEU,msa,أوروب مدد عقوب اقتصاد روسي
109,False,POS,gulf,عجججججججيب هالانس له فهم ركز لام ميس درر
110,False,NEG,msa,اي حر تجا اعلام وجهو رسائل لى سائل اعلام غرب
111,False,NEG,msa,المرصدالايرانيحقوقوحريات غانس دي شد عامل إير المهاجرينترجمة
112,False,POS,msa,جنودنارفعتواروسنا غير حمل را اسلام نفتخرانتم محل فخر عز والشهامةحفظكم له صر
113,False,NEG,msa,اماحكا مجاعه صحاب هام استخدام مكثف حال اعلام غرب هم عشر سن
114,True,NEG,msa,عربول عربيقهو رازيل دل ايطال ساع سويسر عطر رنس سيار المانيةالخ ذهب لالقاءمحاضرته عنوان قاطعواالغرب
115,False,NEG,levant,ضيح سوري سبب غوغل ؤد طرد موظف بير
116,False,NEU,msa,مكياجعي طريق يونس
117,False,POS,levant,رأي تضل ضل مثيل رام عياش يتر سمع خاص ضل مثيل لى بن خليف درام درإذاش
118,True,NEG,msa,على لح خذ جوال
119,False,NEG,msa,شف لي زل مو حافز مخصوم عيد تستاهلونها ما حافز سه ينزلو نتظر خصماعانهحافزمنغيروجهحق
120,False,NEU,msa,صور طريق ترق يندوز
121,False,POS,msa,ذكر حظ تصويت حول ورق رب ضمير آخر جزء ثان مجال فعل صواب ختيار أجدر عد حق قسم قسم اطلا
122,False,NEU,msa,اطقم سائي مارك غوتش شانيل شو ارد ساور دبل سعر ريالللطلب عالواتس
123,False,NEG,msa,حويل بي جحش جنح مش جنح دي حاج خفيف شتيم زق قع عالأرض طش قلم مش ده إلل عمل بي جحش كبر ده كتيييير رقي جرائم قتل عمد قضا مصر زال القضاءالشاخخ شاخخ
124,False,NEU,msa,شخبار وكيمون يالهب
125,False,POS,msa,نعي لي انسان رمز متألق نضال سبيل حر نهض كرام انسان القائدوالمجاهدوالمفكر عرب حمد بن يللا زعيم ثور جزائر
126,False,NEG,msa,طيب ميس سواريز مسوين اظءء شرب كوب شيل ده مدر وش
127,False,NEG,msa,هل محظوظ عند نا رب شغال ريستا مد صحي شاف جه كل صارر بو قه
128,False,NEU,msa,فيف تم سحب مونديال روسي قطر
129,False,NEG,msa,هههههههههههههههههههههههههه ناتو كرام مر مارات سعود فرنس سر ناتو ههههههههههههه
130,False,NEU,msa,دعو احتجاج أردن تفاق غاز إسرائيل طلق ناشط ردني دعو شعب إطفاء أضواء منازل
131,False,NEG,msa,المرصدالايرانيالأخبار رلمان سابق سلوك إير خاطئ اصبح مباحةترجمة
132,False,POS,levant,نا عند حن عرف مي لي يخطفن السهرانينفيروز
133,False,NEU,msa,حفاظ خصوص خف صور هاتف ندرويد آيفو اليومالثلاثاء
134,False,NEU,msa,تعويذ مذكور سلسل لام هار وتر لم حقيق غا مختلف كل أت صيغ أمر نفس طريق تعويذ سحر
135,False,POS,msa,جهزواسواعدكم عهد ميشال عو عهد شعب عظيم
136,False,NEG,msa,يمن مليشياتالحوثيوصالح تستهدف منازل قرى مواطن محافظ بيضاء
137,False,NEU,msa,ميز هاتف غوغل كشف بتزاز بل
138,False,NEG,msa,غز مريض سرط ثد حمل إسرائيل مسؤول حي
139,True,NEG,egypt,اخو ضحاي اننم خن ثور تواطئ نظام قديم عذب ثوار قتل ثار شعب ضد لى خدع نفس
140,False,NEU,msa,عل قل
141,False,NEU,msa,عقل حلب انت عقب رحيل أسد متى انت روسي موافق رحيل
142,False,POS,egypt,احتفال إحياء ذكرى مولد نبو شريف ترانيم قبط مسرح سيد درويش اسكندر ايو نت قري خبر صح
143,False,NEG,msa,أم عام أمم متحد شار أسد قتل شخص فى سوري
144,False,NEG,gulf,زعلان ذا رفع سعر تذاكر غصب عن دفع نت ساك عش شوف اتحاد جمهور
145,False,NEU,msa,رياض ويس انريك فكر إشر مت ظهير من واج ويس إنريك زم جديد تمثل ختيار اعب شغ
146,False,NEG,msa,شهيد معتقل قتل عذيب علا دستور جعل إراد مرس قان ردوغا عترض لا عندم خلع شعب مرس اخو مل احد
147,False,POS,msa,فيديو جماهير سعود تناول طور عاشوراء ملعب جوهر مواطن
148,False,NEG,msa,خطأ قوم عند تبجيل
149,False,POS,egypt,انت حلق تجنننن لام كتر رائع ضحك وي ستفد تير نصائح له يحميك فيبيتناضيف
150,True,NEG,gulf,له ريد غوتش عال دت ربم ضرب مع
151,False,NEU,msa,لهم مي رب نصر على منبطح ردوغا
152,False,NEU,msa,موقع معرف أوامر صوت غوغل نا
153,False,NEG,msa,عن له اوبام امريك عن له وتن روسي شار اسد على حقوق انس روسياتقضيعليحلب
154,False,NEU,msa,ثان سقوط أسد فتح باب إخو كون طرف حكم سوري أمر عطي دفع إخوا مصر شكل ضغط
155,False,NEU,msa,رئيس وزراء فرنس مانويل لس عل رشح انتخاب رئاس يوم مواجه يم يم المتطرففرنسا يونيوز
156,False,NEU,msa,مبارياتالخميس ديسمبرريالمدريدكلوبأمريكاالشبابالإتفاقالباطنالفيصليالجيشالغرافهجنوىفيورنتينا
157,False,NEU,msa,أخبارالاردن ترامب ستولتنبرغ بحث مستقبل ناتو
158,False,NEG,egypt,عد حد شل رئيس ذب إخلاف للوعودكثير لي تسم ثور مضاد انوا يحترمو يتمنوا نجاح ستبد
159,False,NEU,msa,تحرير روسي جدد دعم بشار أسد إرسال طائر جديد
160,False,NEG,msa,عاجل هام جد طريق صب حتيال وريط جديد رياض جد دمام قصيم ريم وبر ايزيتكس سعود
161,False,POS,msa,عدل ثم له
162,False,NEU,msa,فيديو تامر مي حمد شفيق عود مصر خلال شهر حمدشفيق لمتيمصر جبهةشعبمصر
163,True,NEG,egypt,مارهبا سلامو يكووو سعيد عود قاهر ساحر نيكولاس يدج ختام حفل قاهر سينمائ خل زير سياح ملخوم غسيل طبيخ تفل عيال مصرأالدنيا
164,False,NEU,msa,الاهليضمكدوووريالمحترررفينبورك ملأ حي عمل خير أن در أن قصر ضيع عمل شر
165,False,NEG,egypt,غر كل شوف اداء لا نا
166,False,NEU,msa,ضل طرق إلتقاط صور سطح مكتب يندوز دون رامج
167,False,NEU,msa,ضل لم شاهد أطلاق سلس لام هار وتر
168,False,POS,egypt,خور أن مصر ول خير
169,False,NEG,magreb,حليل معمم شيع حليل رضوو عاليهوود عني ساس حرام تهم يهود دع نه سمم نب يحلييل مسكيين
170,False,POS,egypt,حض لى تحب كلام قول لم حلو جأ
171,False,NEU,msa,قو احتلال عتقل مواطن ضفةرام له ناد أسير اعتقل قو احتلال ليل ماض فجر
172,False,NEU,msa,شراء حساب جوجل لا ماذ
173,False,POS,egypt,حل حاج حلق رجعواالجماهير
174,False,NEG,msa,عبدالمنعم سعيد إسرائيل طالب عالم اعتراف فاش عنصر قان قسم ولاء يهود إسرائيل اش
175,False,NEG,egypt,غيط إسرائيل عب قبرص يون ثناء حكم مبار إح نايم عسل
176,False,NEG,msa,زير سابق حكوم احتلال مك نساء بيت ترب أبناء مطبخ ليس خدم عسكر
177,True,NEG,egypt,كبر معوق خازوق خذ إخو شايف ده يوم جب كمل مشوار دو
178,False,NEG,msa,حسين اقر علوم حد هم كار حزبالل غانس ابولف تم شحن طائف مذهب حريض شيع افغانس قتال سوري حلب
179,False,NEU,msa,رجو مذيع ضيوف جزير رد حسام ود عندم كرر عبار يوم هى صف خير شاطر لتقي سفير
180,False,POS,msa,قال نب صلى له سلم إسلام عبد له شر شيئ قيم صلا ؤد زكا مفروض صوم رمض صحيح بخار
181,False,NEU,msa,تخل جبه نصر سلاح هرب
182,False,NEU,msa,يوز سعود عاجل قنا جزير صحح مقصود حدود شمال يمن لس عبر بض
183,False,NEG,msa,غيت مسير مياد خطر تحرير رمسيس قتل أطفال رصاص حي عباس عقاد دهس مدرع
184,True,NEG,egypt,ناس تير أسف ابس ماس أسف تظهر جأ معد حقيق مجرد غلط سيط كشف وجه حقيق علاج لو
185,False,POS,msa,عيدميلادسعيدياسيسياعترفانيالسعودياتثالثاجملنساءالكونثايرونلننستسلمهلتتزوجوحدهتكشفوجههاالنهارده الخميساحمد شيخ
186,True,NEG,msa,شفق انت مؤخر يم ردشيان حم عبث عابث رئيسالهيئاتهؤلاءلنيحموامؤخراتهم
187,False,NEG,egypt,هد داير نلف داخل مش عايز قي اولتراس اخترع مذبخ ورسعيد ناس موت جمهور تمنع ماتش الكورةللجماهير
188,False,NEG,msa,تهام محمد مهدى عاكف مرشد سابق اخو عمر عام قتل عمد ؤكد فبرك صل مد
189,True,NEG,levant,حج لاشعائر لا طيخ سم شو شو صور اسلام عذ يه ماقدر حرف قول يذاء نفس حرام ما ذاكر ايه
190,False,NEG,msa,فجو زداد شعب حكام بد استجاب حاسم واضح مطالب ثور
191,True,NEG,egypt,عادلامام بن لب حي قل دب قلب حضا بغاي تعملولو هاشتاج يه يل أم قود تافه
192,False,POS,msa,شكر قلب شاهد خير عليحبالنصريجمعنا رشلون سط ريانالغامدي
193,False,NEU,gulf,سحب عش سوي ماراث هار وتر
194,False,NEU,msa,ظهور صور ساع نظام ندرويد ير ريالمدريد رشلون
195,False,NEU,msa,موقع سم لا شوتادخل غوغل لاق مبار عالم جود لي ريد
196,True,NEG,msa,عليم صلا أطفال ضرب رسول جمع كفار جلد حد تعلم صلا
197,False,NEU,msa,نا يونس نت جا زي
198,False,NEU,msa,تف يش
199,False,POS,egypt,يحاجةصح ان جيش مصرى قوى متماس
200,False,NEU,msa,آردا ور رشلون رفض يع مبلغ لكي رشلون
201,False,POS,egypt,حي عين خذ صو خذ جه حس طرب صييل مصر جيز قاهر شاد اهرام سيوط
202,False,NEU,msa,عاجل حلب الجيشالسوري يستهدف مواقع ارهاب حي زبد مدفع ثقيل
203,False,NEU,msa,رحم له سامر سليم مصري مخلص قيم مواطن ديمقراط أستاذ متميز اقتصاد سياس رحم له
204,False,POS,levant,ركاديوش ميل اعب نابول متحمس نني كون قادر لعب ضد مدريد قط منى نضم زملائ قرب قت مم
205,False,NEG,egypt,حن ضر مملك يه مواقف موجه امريكا ركي داعم ارهاب يش دخل سعود
206,False,NEU,msa,صور جوي حديث سب احد كثر جه جمال عام نتيج كو
207,False,NEU,msa,قي أحياء شرق مدين حلب مسلح عائل
208,False,NEU,egypt,رم غريب
209,False,NEU,msa,رتياح اتحاد اوروب هزيم يم متطرف النمساالنمسا
210,False,NEU,egypt,مم شتر موقع ماز محل معالج مياه
211,False,NEU,msa,أرجن ساو شىء دون حس اعب مجر ونيل ميس
212,False,NEG,msa,يمن رئيسالجمهورية عزي فا السلطانعليالعبدلي
213,False,NEU,msa,خصم بير مازو بريطان نتهي ساعةعلى مكنس هربائ شرك شح مباشر
214,False,NEU,egypt,مذيع تزغرت هو الامالمثالية
215,False,NEU,egypt,جماع لي عند خبر كمبيوتر نا عند يندوز حاطط اسورد تاب زم وي نت ستخدم لي هو اسورد صوره ده
216,False,NEU,msa,با جدار صام خطب شيخ احمدالقطان حما كأن تحدث حلب
217,False,POS,msa,نواع سخر قدر قرر تخطا بدأ افتعال أشغال جد نها يوم خبر أن غب مخيل حظه
218,False,NEG,msa,يوم عالم فتا سور سلط عظيم حكم غلم
219,False,NEU,msa,رفض سب هجوم ناء ضد خل إرهاب إسرائيل
220,True,NEU,egypt,نسبه بن لى ترتبط مابتكلمش اد دا مح صح صوت عمر مجدى فا مح قي
221,False,POS,msa,خبر عاجلصدر مرسوم زار أوقاف سوري أن يام عيد فطر مبارك كل عام أنتم خير
222,False,NEU,msa,هذه أسباب نفعل إنريك اعب تدريب رشلون
223,False,NEU,msa,مدريد فتتح حضور مونديال أند مواجه لوب حثا تأهل نهائ
224,True,NEG,gulf,ادار ناد عرب قسم له نتو ضح اعب معتزل شل يقاف زعيم ادارةواااو
225,False,POS,msa,له در قطر وقادتهاقطر لغ احتفال اليومالوطني ضام حلب سوري ستبقيحلب
226,False,POS,msa,جه طلق لم طيب ابتسام دائم فك أذى ذلك ندى عفو سماح تغافله شياء منح خير دني آخرة حبب خلق رفع درج خالق در أي شيء توصلكحتى كو منزل صائم نهار قائم ليل ذلك من حس خلق
227,False,POS,msa,عام شر جا صو سط شجر قال خلاص عهد ظلم مر باطل حق نتصر حاج رر علاءبنغازي
228,False,NEU,msa,نمشاهير شبابل عرف خريط حفل رأس سن سر غياب إليس هيفاءوهبييحرص جوم فن دائم
229,False,NEG,msa,قاطع عرب صين اقتصادياهل قف كين شار مد مساعد عسكر حصل مؤخرالمن ايعلم فيتو ضد شعب سور
230,False,NEU,msa,كيك كيو موقع مازو
231,False,POS,msa,دني شب ساح معرك من خرج سبان من خرج مهزومالمكسب رض له
232,True,NEG,msa,مبار يح شرم شيخ سيس حيح شارع خمس اب انتخبواالعرص
233,False,NEU,msa,بيتلحمالاحتلال طلق سراح اسير عبد هاد طقاطق لد يتفجار ان مضى مد محكوم بالغ وات شقيق دعيس شهور
234,False,NEU,msa,جهزواسواعدكم تى عهد تغيير تى تحرير خام رئييس جنرال ميشال عو
235,False,NEG,msa,مميز جد امرأ مسن رو معان أسر حاف سماء فراش ارض دمار قتل جوع اراد يصال رسال لى شبع
236,True,NEG,egypt,دور فى سوري هتلاق يجاهد داعش زى نس جماع سخ
237,False,NEU,msa,طير عدو شن سلسل غار عدد محافظ جمهور يمن جرا
238,False,NEU,msa,المرصدالايرانيالأخبار كونغرس شرع رفض عضو إير منظم تجار العالميةترجمة
239,False,NEU,msa,مندوب اشنطن دي هجم مدني من هجم جماع معارض تفق روسي نه وجد اي مبرر اي هجم مدني
240,True,NEG,gulf,وزيرالشمهفيمؤتمرالقمه ههههههههههههههههههههههههههههههه ماتستح صبر شو ين خلص قمه ضحت له فك من
241,False,POS,msa,حلبهذ مساء حلب شرق صبح طاهر مطهر إرهاب إسلام وهاب المجرممرحبا حلب à سوريةروسياإيران
242,False,NEU,msa,السفيرالاحمد شار عمال جمع برلمان ناتو منعقد مدين اسطنبول
243,False,NEU,msa,تكليف الرئيسالأسد وزير عزام قدم تعاز شار مراسم حفل كريم قائد راحل ديل استرو
244,False,POS,msa,مير كويت بعث رسال شكر لى خادم حرم شريف جريدةالراية نحمدكياذاالعرش
245,False,NEU,msa,شرح ثبيت ظام يندوز فورم
246,False,NEU,msa,يسنجر وت حسب مصالح لاد دق حمي قو روسي
247,False,NEU,msa,صور طبيع متحرك سحب خلال ساع ماض سحابالخير عالمالطقس طقسالسعودية طقسالعرب
248,False,NEU,egypt,ماردوش عليك اكونت رسم تاع
249,False,NEG,msa,فرنساالقضاء فرنس دي مدير صندوق نقد دول ريس اغارد تهم إهمال
250,False,NEG,msa,لم تحرير احتلال قتل سطينيا صيب آخري حدود غز احتلال جبهةشعبمصر
251,True,NEG,msa,كافئ فو عبار راه عنصر ضد مسيحي تعيين جن دستور خرج مزق انجيل كفال ندهش حدث ان
252,True,NEU,msa,ال شمال ده زيي اسمعود إرهاب لي يم ده زي إستقرار عرف فرق
253,False,NEU,egypt,توقع نه يستمر
254,False,NEG,levant,رزق داشر علم ناس حرام شرف روح حرر قدس رك عوكر راب عبدا معراب جون ضاح هل ملاحظ نس نو حلو كل مخيم نا مان عوكرمشالقدس
255,False,NEG,egypt,آجي قول مسخره هبدأ نت منور بس عين مسكر رسم ملامح جسم هدوم تنهش حم ات وم متأثر خل عي ناس ري كأن عرض تذكر مسموح طوب أرض رمي لم جا وم متحسر
256,False,POS,msa,اق وم بعد حتخرج شاء له شعور ايوصف ربي
257,True,NEG,msa,الشعبيردتحيةالرئيس بكارالديوث انتخبواالعرص مصرالليلة نكاحالكاراتيه إنصافالاخوان
258,False,NEU,msa,شار كتابيحقائقفيتاريخفلسطينالسياسيرجالمنورقونساءمنزجاجفيمعرضالكويتالدوليللكتاب دار عرب
259,False,NEG,msa,فعل درر حرام حرام له حرام نقط نقاط عجز لس صف وكب تنس فتقد
260,False,NEG,msa,ول مر شوف شرك قول موظف قدم ستقال عطي شهر مكافئ يش كرم لي إح تأخيررواتببنلادن
261,False,NEG,msa,قديم وجد مراجع سيناري دقق أعمال درام يوم وظيف اندثر قاموس إنتاج درام تنا شاهد تركيب مشوش شب عرف ضعفالتأليف روا رغم أن مقاطع معظم بث أن حب يستسخف عقل نظر سريع درام لبنان
262,False,POS,msa,عيدالأم ام عيد حيا
263,False,NEG,msa,ناس مجتمع تمن خير جا خير حسد الحبيبهكلناااالدلماني
264,False,POS,msa,ميس رستيانو اسانو رستيانو نادال ذا سقط يستطيع نهوض ميس درر دائم قم
265,False,NEG,levant,ان جيش سور بيد حلب اهال احياء شرق طالب نقل لى مناطق خضع سيطر جيش عرب السوريبحبويتعذبوا حلبتحررت
266,False,NEU,msa,شغل غن روز بردنايحتاج
267,False,NEG,msa,ذلك قول ثار اعلام غرب هويل ضخيم مقاصد حر رأ عام مواقف حقيق صل صحف بد
